year,concept_code,concept_name_es,concept_name_en,value,unit,currency,sector_code,sector_name_es,sector_name_en,type,type_name_es,type_name_en,section,series,sector
2003,P.3,Gastos de consumo final,Final Consumption Expenditure,868227.951,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2004,P.3,Gastos de consumo final,Final Consumption Expenditure,925856.477,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2005,P.3,Gastos de consumo final,Final Consumption Expenditure,1006153.784,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2006,P.3,Gastos de consumo final,Final Consumption Expenditure,1099709.396,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2007,P.3,Gastos de consumo final,Final Consumption Expenditure,1197042.904,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2008,P.3,Gastos de consumo final,Final Consumption Expenditure,1325508.161,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2009,P.3,Gastos de consumo final,Final Consumption Expenditure,1449432.051,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2010,P.3,Gastos de consumo final,Final Consumption Expenditure,1573404.818,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2011,P.3,Gastos de consumo final,Final Consumption Expenditure,1727177.129,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2012,P.3,Gastos de consumo final,Final Consumption Expenditure,1889705.062,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2013,P.3,Gastos de consumo final,Final Consumption Expenditure,1984414.917,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2014,P.3,Gastos de consumo final,Final Consumption Expenditure,2132204.422,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2015,P.3,Gastos de consumo final,Final Consumption Expenditure,2287563.099,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2016,P.3,Gastos de consumo final,Final Consumption Expenditure,2417582.933,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2017,P.3,Gastos de consumo final,Final Consumption Expenditure,2548003.721,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2018,P.3,Gastos de consumo final,Final Consumption Expenditure,2721849.052,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2019,P.3,Gastos de consumo final,Final Consumption Expenditure,2785212.165,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2020,P.3,Gastos de consumo final,Final Consumption Expenditure,2942694.978,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2003,P.3,Gastos de consumo final,Final Consumption Expenditure,5401293.271,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2004,P.3,Gastos de consumo final,Final Consumption Expenditure,5913419.08,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2005,P.3,Gastos de consumo final,Final Consumption Expenditure,6432913.746,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2006,P.3,Gastos de consumo final,Final Consumption Expenditure,6998913.821,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2007,P.3,Gastos de consumo final,Final Consumption Expenditure,7571006.86,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2008,P.3,Gastos de consumo final,Final Consumption Expenditure,8117954.955,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2009,P.3,Gastos de consumo final,Final Consumption Expenditure,7822630.338,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2010,P.3,Gastos de consumo final,Final Consumption Expenditure,8533203.987,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2011,P.3,Gastos de consumo final,Final Consumption Expenditure,9295348.673,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2012,P.3,Gastos de consumo final,Final Consumption Expenditure,10028393.407,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2013,P.3,Gastos de consumo final,Final Consumption Expenditure,10607564.825,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2014,P.3,Gastos de consumo final,Final Consumption Expenditure,11296643.732,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2015,P.3,Gastos de consumo final,Final Consumption Expenditure,11919103.98,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2016,P.3,Gastos de consumo final,Final Consumption Expenditure,12944957.624,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2017,P.3,Gastos de consumo final,Final Consumption Expenditure,14043055.414,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2018,P.3,Gastos de consumo final,Final Consumption Expenditure,14950319.662,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2019,P.3,Gastos de consumo final,Final Consumption Expenditure,15564395.404,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2020,P.3,Gastos de consumo final,Final Consumption Expenditure,14499637.209,millions,MXN,S.14,HH,HH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,households
2003,P.3,Gastos de consumo final,Final Consumption Expenditure,124745.929,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2004,P.3,Gastos de consumo final,Final Consumption Expenditure,118324.76,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2005,P.3,Gastos de consumo final,Final Consumption Expenditure,129738.988,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2006,P.3,Gastos de consumo final,Final Consumption Expenditure,151829.961,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2007,P.3,Gastos de consumo final,Final Consumption Expenditure,155766.866,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2008,P.3,Gastos de consumo final,Final Consumption Expenditure,150799.583,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2009,P.3,Gastos de consumo final,Final Consumption Expenditure,183940.007,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2010,P.3,Gastos de consumo final,Final Consumption Expenditure,201639.852,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2011,P.3,Gastos de consumo final,Final Consumption Expenditure,208926.69,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2012,P.3,Gastos de consumo final,Final Consumption Expenditure,209579.093,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2013,P.3,Gastos de consumo final,Final Consumption Expenditure,211686.114,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2014,P.3,Gastos de consumo final,Final Consumption Expenditure,218616.811,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2015,P.3,Gastos de consumo final,Final Consumption Expenditure,229279.361,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2016,P.3,Gastos de consumo final,Final Consumption Expenditure,244047.82,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2017,P.3,Gastos de consumo final,Final Consumption Expenditure,262207.057,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2018,P.3,Gastos de consumo final,Final Consumption Expenditure,288065.446,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2019,P.3,Gastos de consumo final,Final Consumption Expenditure,302052.639,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2020,P.3,Gastos de consumo final,Final Consumption Expenditure,272786.308,millions,MXN,S.15,NPISH,NPISH,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,nonprofit
2003,P.3,Gastos de consumo final,Final Consumption Expenditure,6394267.151,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2004,P.3,Gastos de consumo final,Final Consumption Expenditure,6957600.317,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2005,P.3,Gastos de consumo final,Final Consumption Expenditure,7568806.518,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2006,P.3,Gastos de consumo final,Final Consumption Expenditure,8250453.178,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2007,P.3,Gastos de consumo final,Final Consumption Expenditure,8923816.63,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2008,P.3,Gastos de consumo final,Final Consumption Expenditure,9594262.699,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2009,P.3,Gastos de consumo final,Final Consumption Expenditure,9456002.396,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2010,P.3,Gastos de consumo final,Final Consumption Expenditure,10308248.657,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2011,P.3,Gastos de consumo final,Final Consumption Expenditure,11231452.492,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2012,P.3,Gastos de consumo final,Final Consumption Expenditure,12127677.562,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2013,P.3,Gastos de consumo final,Final Consumption Expenditure,12803665.856,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2014,P.3,Gastos de consumo final,Final Consumption Expenditure,13647464.965,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2015,P.3,Gastos de consumo final,Final Consumption Expenditure,14435946.44,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2016,P.3,Gastos de consumo final,Final Consumption Expenditure,15606588.377,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2017,P.3,Gastos de consumo final,Final Consumption Expenditure,16853266.192,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2018,P.3,Gastos de consumo final,Final Consumption Expenditure,17960234.16,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2019,P.3,Gastos de consumo final,Final Consumption Expenditure,18651660.208,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2020,P.3,Gastos de consumo final,Final Consumption Expenditure,17715118.495,millions,MXN,S.2,ROW,ROW,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,rest_of_world
2003,F.3,Títulos de deuda,Debt Securities,297389.109,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2003,F.3,Títulos de deuda,Debt Securities,292986.98,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2003,F.3,Títulos de deuda,Debt Securities,64900.164,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2003,F.3,Títulos de deuda,Debt Securities,67862.221,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2004,F.3,Títulos de deuda,Debt Securities,3653.333,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2004,F.3,Títulos de deuda,Debt Securities,52375.448,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2004,F.3,Títulos de deuda,Debt Securities,48416.903,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2004,F.3,Títulos de deuda,Debt Securities,60457.161,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2005,F.3,Títulos de deuda,Debt Securities,631381.362,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2005,F.3,Títulos de deuda,Debt Securities,602784.592,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2005,F.3,Títulos de deuda,Debt Securities,125489.026,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2005,F.3,Títulos de deuda,Debt Securities,124103.025,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2006,F.3,Títulos de deuda,Debt Securities,406255.514,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2006,F.3,Títulos de deuda,Debt Securities,363532.41,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2006,F.3,Títulos de deuda,Debt Securities,-192846.167,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2006,F.3,Títulos de deuda,Debt Securities,-197572.986,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2007,F.3,Títulos de deuda,Debt Securities,646510.552,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2007,F.3,Títulos de deuda,Debt Securities,639222.494,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2007,F.3,Títulos de deuda,Debt Securities,-40468.924,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2007,F.3,Títulos de deuda,Debt Securities,-37977.331,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2008,F.3,Títulos de deuda,Debt Securities,183204.845,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2008,F.3,Títulos de deuda,Debt Securities,319182.545,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2008,F.3,Títulos de deuda,Debt Securities,41662.788,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2008,F.3,Títulos de deuda,Debt Securities,58514.493,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2009,F.3,Títulos de deuda,Debt Securities,1139352.173,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2009,F.3,Títulos de deuda,Debt Securities,607427.79,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2009,F.3,Títulos de deuda,Debt Securities,31714.701,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2009,F.3,Títulos de deuda,Debt Securities,11933.139,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2010,F.3,Títulos de deuda,Debt Securities,477306.82,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2010,F.3,Títulos de deuda,Debt Securities,432910.14,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2010,F.3,Títulos de deuda,Debt Securities,87676.256,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2010,F.3,Títulos de deuda,Debt Securities,85774.804,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2011,F.3,Títulos de deuda,Debt Securities,366436.858,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2011,F.3,Títulos de deuda,Debt Securities,426616.44,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2011,F.3,Títulos de deuda,Debt Securities,63881.356,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2011,F.3,Títulos de deuda,Debt Securities,68558.327,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2012,F.3,Títulos de deuda,Debt Securities,395489.527,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2012,F.3,Títulos de deuda,Debt Securities,331851.359,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2012,F.3,Títulos de deuda,Debt Securities,82398.782,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2012,F.3,Títulos de deuda,Debt Securities,75312.467,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2013,F.3,Títulos de deuda,Debt Securities,448564.88,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2013,F.3,Títulos de deuda,Debt Securities,413622.786,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2013,F.3,Títulos de deuda,Debt Securities,56563.626,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2013,F.3,Títulos de deuda,Debt Securities,51088.208,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2014,F.3,Títulos de deuda,Debt Securities,639802.219,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2014,F.3,Títulos de deuda,Debt Securities,273540.12,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2014,F.3,Títulos de deuda,Debt Securities,126190.597,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2014,F.3,Títulos de deuda,Debt Securities,134342.288,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2015,F.3,Títulos de deuda,Debt Securities,364713.571,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2015,F.3,Títulos de deuda,Debt Securities,427179.139,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2015,F.3,Títulos de deuda,Debt Securities,83806.272,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2015,F.3,Títulos de deuda,Debt Securities,104782.444,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2016,F.3,Títulos de deuda,Debt Securities,-66883.589,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2016,F.3,Títulos de deuda,Debt Securities,163517.613,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2016,F.3,Títulos de deuda,Debt Securities,56305.206,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2016,F.3,Títulos de deuda,Debt Securities,110006.919,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2017,F.3,Títulos de deuda,Debt Securities,738373.771,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2017,F.3,Títulos de deuda,Debt Securities,828801.001,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2017,F.3,Títulos de deuda,Debt Securities,115110.496,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2017,F.3,Títulos de deuda,Debt Securities,122702.663,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2018,F.3,Títulos de deuda,Debt Securities,288096.785,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2018,F.3,Títulos de deuda,Debt Securities,378713.519,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2018,F.3,Títulos de deuda,Debt Securities,45434.378,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2018,F.3,Títulos de deuda,Debt Securities,63689.322,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2019,F.3,Títulos de deuda,Debt Securities,896218.53,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2019,F.3,Títulos de deuda,Debt Securities,776762.103,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2019,F.3,Títulos de deuda,Debt Securities,113636.841,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2019,F.3,Títulos de deuda,Debt Securities,93113.052,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2020,F.3,Títulos de deuda,Debt Securities,1280432.508,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2020,F.3,Títulos de deuda,Debt Securities,957817.511,millions,MXN,S.12,SF,FC,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,financial
2020,F.3,Títulos de deuda,Debt Securities,-40626.459,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2020,F.3,Títulos de deuda,Debt Securities,-58879.482,millions,MXN,S.12,SF,FC,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,financial
2003,F.3,Títulos de deuda,Debt Securities,0,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,government
2003,F.3,Títulos de deuda,Debt Securities,0,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,government
2003,F.3,Títulos de deuda,Debt Securities,289404.125,millions,MXN,S.13,GG,GG,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,government
2003,F.3,Títulos de deuda,Debt Securities,335040.774,millions,MXN,S.13,GG,GG,R/P - Resources/Liabilities,Recursos/Pasivos,Resources/Liabilities,II.1.2,debt_securities,government
2004,F.3,Títulos de deuda,Debt Securities,0,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,debt_securities,government
